Charge_Energy(Wh),Discharge_Energy(Wh),date
0,0,2022-01-01 00:00:00
"0,010033471297483",0,2022-01-01 00:15:00
"0,020094745168889",0,2022-01-01 00:30:00
"0,030171801020585",0,2022-01-01 00:45:00
"0,040260512620716",0,2022-01-01 01:00:00
"0,050358378028883",0,2022-01-01 01:15:00
"0,060464181752788",0,2022-01-01 01:30:00
"0,070561516989881",0,2022-01-01 01:45:00
"0,080680683513916",0,2022-01-01 02:00:00
"0,090805954363698",0,2022-01-01 02:15:00
"0,100936943961665",0,2022-01-01 02:30:00
"0,111057810931247",0,2022-01-01 02:45:00
"0,12119980609644",0,2022-01-01 03:00:00
"0,131331174186774",0,2022-01-01 03:15:00
"0,141499328972668",0,2022-01-01 03:30:00
"0,151656940786551",0,2022-01-01 03:45:00
"0,161819542168578",0,2022-01-01 04:00:00
"0,171987165602463",0,2022-01-01 04:15:00
"0,182159613856205",0,2022-01-01 04:30:00
"0,192336448259364",0,2022-01-01 04:45:00
"0,202518486985397",0,2022-01-01 05:00:00
"0,212704695792545",0,2022-01-01 05:15:00
"0,222880079101483",0,2022-01-01 05:30:00
"0,233091533977362",0,2022-01-01 05:45:00
"0,243291877883409",0,2022-01-01 06:00:00
"0,253480766793056",0,2022-01-01 06:15:00
"0,263706168242397",0,2022-01-01 06:30:00
"0,273904686794118",0,2022-01-01 06:45:00
"0,284123143018716",0,2022-01-01 07:00:00
"0,294346165187106",0,2022-01-01 07:15:00
"0,304557519367976",0,2022-01-01 07:30:00
"0,314805033743799",0,2022-01-01 07:45:00
"0,325040706930762",0,2022-01-01 08:00:00
"0,335280719573966",0,2022-01-01 08:15:00
"0,345509162104143",0,2022-01-01 08:30:00
"0,355757683214223",0,2022-01-01 08:45:00
"0,366010383312092",0,2022-01-01 09:00:00
"0,376267330185714",0,2022-01-01 09:15:00
"0,386528121913",0,2022-01-01 09:30:00
"0,396793130626293",0,2022-01-01 09:45:00
"0,407062456885026",0,2022-01-01 10:00:00
"0,417335892150621",0,2022-01-01 10:15:00
"0,427613243789158",0,2022-01-01 10:30:00
"0,437878610826808",0,2022-01-01 10:45:00
"0,448163876963403",0,2022-01-01 11:00:00
"0,458452906513239",0,2022-01-01 11:15:00
"0,46872943164044",0,2022-01-01 11:30:00
"0,479042325330377",0,2022-01-01 11:45:00
"0,489342444285966",0,2022-01-01 12:00:00
"0,499646640915947",0,2022-01-01 12:15:00
"0,509954511245663",0,2022-01-01 12:30:00
"0,520265988989958",0,2022-01-01 12:45:00
"0,530565141117901",0,2022-01-01 13:00:00
"0,540899985790123",0,2022-01-01 13:15:00
"0,551206277640161",0,2022-01-01 13:30:00
"0,561532142082111",0,2022-01-01 13:45:00
"0,571877843519433",0,2022-01-01 14:00:00
"0,58219519353551",0,2022-01-01 14:15:00
"0,592531783268456",0,2022-01-01 14:30:00
"0,602855653657207",0,2022-01-01 14:45:00
"0,613215237739195",0,2022-01-01 15:00:00
"0,623562036660168",0,2022-01-01 15:15:00
"0,633912036235865",0,2022-01-01 15:30:00
"0,644265196546767",0,2022-01-01 15:45:00
"0,654605442445703",0,2022-01-01 16:00:00
"0,66496496066573",0,2022-01-01 16:15:00
